N_img,x_wp,y_wp,class
img11,203,362,1
img11,641,327,0
img11,204,374,1
img11,641,339,0
img11,205,385,1
img11,643,349,0
img11,205,395,1
img11,623,362,0
img11,207,406,1
img11,605,377,0
img11,209,418,1
img11,587,391,0
img11,209,430,1
img11,569,404,0
img11,211,441,1
img11,551,417,0
img11,212,451,1
img11,535,430,0
img11,212,463,1
img11,516,443,0
img11,214,474,1
img11,492,457,0
img11,214,485,1
img11,477,471,0
img11,216,497,1
img11,461,484,0
img11,216,508,1
img11,445,497,0
img11,219,520,1
img11,422,510,0
img11,220,531,1
img11,407,523,0
img11,222,542,1
img11,390,537,0
img11,222,554,1
img12,348,213,0
img12,324,542,1
img12,382,181,0
img12,355,546,1
img12,417,150,0
img12,388,547,1
img12,452,115,0
img12,421,551,1
img12,484,85,0
img12,452,553,1
img12,521,111,0
img12,488,557,1
img12,554,140,0
img12,524,560,1
img12,585,182,0
img12,559,560,1
img12,617,211,0
img12,593,564,1
img13,78,412,0
img13,333,727,1
img13,78,387,0
img13,357,732,1
img13,78,363,0
img13,376,731,1
img13,78,342,0
img13,393,731,1
img13,79,324,0
img13,410,731,1
img13,79,301,0
img13,427,729,1
img13,79,277,0
img13,446,729,1
img13,82,255,0
img13,466,729,1
img13,81,230,0
img13,485,729,1
img13,81,210,0
img13,502,729,1
img13,84,190,0
img13,521,730,1
img13,83,166,0
img13,537,727,1
img14,379,103,0
img14,233,655,1
img14,410,97,0
img14,261,661,1
img14,428,127,0
img14,282,669,1
img14,446,163,0
img14,308,676,1
img14,468,196,0
img14,336,684,1
img14,488,227,0
img14,363,691,1
img14,504,257,0
img14,387,693,1
img14,523,292,0
img14,412,702,1
img14,545,327,0
img14,442,705,1
img14,566,359,0
img14,469,713,1
img14,583,382,0
img14,490,723,1
img14,603,424,0
img14,519,725,1
img14,624,453,0
img14,544,735,1
img14,641,484,0
img14,569,738,1
img15,279,57,0
img15,92,737,1
img15,325,57,0
img15,138,739,1
img15,371,58,0
img15,185,737,1
img15,418,58,0
img15,230,741,1
img15,466,58,0
img15,283,733,1
img15,523,58,0
img15,339,735,1
img15,568,57,0
img15,383,739,1
img15,614,57,0
img15,427,739,1
img15,668,57,0
img15,483,733,1
img15,713,57,0
img15,527,736,1
img16,244,154,0
img16,104,742,1
img16,265,171,0
img16,127,745,1
img16,279,202,0
img16,150,748,1
img16,303,218,0
img16,176,754,1
img16,323,240,0
img16,201,753,1
img16,343,262,0
img16,228,750,1
img16,364,287,0
img16,254,748,1
img16,384,307,0
img16,279,746,1
img16,403,327,0
img16,304,743,1
img16,422,348,0
img16,329,742,1
img16,442,369,0
img16,353,740,1
img16,460,389,0
img16,377,743,1
img17,218,326,0
img17,437,562,1
img17,231,315,0
img17,450,551,1
img17,243,304,0
img17,462,540,1
img17,256,294,0
img17,472,528,1
img17,270,285,0
img17,484,517,1
img17,282,275,0
img17,495,507,1
img17,297,268,0
img17,507,495,1
img17,310,256,0
img17,520,484,1
img17,326,246,0
img17,532,472,1
img17,337,237,0
img17,542,460,1
img17,349,226,0
img17,554,449,1
img17,362,216,0
img17,567,437,1
img17,377,208,0
img17,578,426,1
img17,389,196,0
img17,589,411,1
img18,507,55,0
img18,62,304,1
img18,547,51,0
img18,51,327,1
img18,578,53,0
img18,51,345,1
img18,613,50,0
img18,47,365,1
img18,636,54,0
img18,50,381,1
img18,671,52,0
img18,48,400,1
img18,701,53,0
img18,48,416,1
img18,732,53,0
img18,49,433,1
img18,749,63,0
img18,49,453,1
img18,751,81,0
img18,49,471,1
img18,750,101,0
img18,50,489,1
img18,751,117,0
img18,49,508,1
img18,751,134,0
img18,48,524,1
img18,751,151,0
img18,49,542,1
img18,731,182,0
img18,50,560,1
img18,738,195,0
img18,49,578,1
img18,751,205,0
img18,47,596,1
img18,751,224,0
img18,49,615,1
img18,751,242,0
img18,49,631,1
img18,751,259,0
img18,49,649,1
img18,750,278,0
img18,50,667,1
img18,751,296,0
img18,49,685,1
img18,750,314,0
img18,51,703,1
img18,751,331,0
img18,48,723,1
img18,753,346,0
img18,49,737,1
img18,752,363,0
img18,59,749,1
img18,748,385,0
img18,98,747,1
img18,751,402,0
img18,131,748,1
img18,749,422,0
img18,166,747,1
img18,749,440,0
img18,199,747,1
img18,751,455,0
img18,223,749,1
img18,749,473,0
img18,256,747,1
img18,748,491,0
img18,288,748,1
img19,363,138,0
img19,138,340,1
img19,377,144,0
img19,144,354,1
img19,389,153,0
img19,150,367,1
img19,402,161,0
img19,157,381,1
img19,415,168,0
img19,163,397,1
img19,410,194,0
img19,168,410,1
img19,420,205,0
img19,174,423,1
img19,432,214,0
img19,179,438,1
img19,444,224,0
img19,186,452,1
img19,482,206,0
img19,192,466,1
img19,494,214,0
img19,197,482,1
img19,508,222,0
img19,203,496,1
img19,520,230,0
img19,210,510,1
img19,534,239,0
img19,216,524,1
img19,548,245,0
img19,222,538,1
img19,560,253,0
img19,226,554,1
img19,572,259,0
img19,232,565,1
img19,585,267,0
img19,240,578,1
img20,441,250,0
img20,82,462,1
img20,449,260,0
img20,90,474,1
img20,456,275,0
img20,97,487,1
img20,464,289,0
img20,107,501,1
img20,474,303,0
img20,115,516,1
img20,481,317,0
img20,123,529,1
img20,488,329,0
img20,130,542,1
img20,470,355,0
img20,138,555,1
img20,476,370,0
img20,146,569,1
img20,513,369,0
img20,155,582,1
img20,520,383,0
img20,163,596,1
img20,528,396,0
img20,169,609,1
img20,534,409,0
img20,177,621,1
img20,544,423,0
img20,187,636,1
img20,551,436,0
img20,194,648,1
img20,559,448,0
img20,201,660,1
img20,567,462,0
img20,210,675,1
img20,575,477,0
img20,219,689,1
img20,582,489,0
img20,226,703,1
img20,590,503,0
img20,233,714,1
img20,597,515,0
img20,241,727,1
img21,165,329,0
img21,426,582,1
img21,171,301,0
img21,453,573,1
img21,179,277,0
img21,476,562,1
img21,186,244,0
img21,501,550,1
img21,192,215,0
img21,524,539,1
img21,203,191,0
img21,516,508,1
img21,230,185,0
img21,529,488,1
img21,260,176,0
img21,564,476,1
img21,287,167,0
img21,576,451,1
img21,313,161,0
img21,584,427,1
img22,321,93,0
img22,143,312,1
img22,339,108,0
img22,158,324,1
img22,354,117,0
img22,176,335,1
img22,368,131,0
img22,188,348,1
img22,382,142,0
img22,202,360,1
img22,398,156,0
img22,218,373,1
img22,412,175,0
img22,234,386,1
img22,427,180,0
img22,249,397,1
img22,444,193,0
img22,264,409,1
img22,458,203,0
img22,297,408,1
img22,473,214,0
img22,308,421,1
img22,485,227,0
img22,307,444,1
img22,501,237,0
img22,321,456,1
img22,516,252,0
img22,341,467,1
img22,533,263,0
img22,353,482,1
img23,252,77,0
img23,256,614,1
img23,267,77,0
img23,270,613,1
img23,285,77,0
img23,288,614,1
img23,300,77,0
img23,304,615,1
img23,316,77,0
img23,318,614,1
img23,333,77,0
img23,336,614,1
img23,348,84,0
img23,352,613,1
img23,364,88,0
img23,368,612,1
img23,381,77,0
img23,385,614,1
img23,397,77,0
img23,399,612,1
img23,414,77,0
img23,416,614,1
img23,429,77,0
img23,431,612,1
img23,447,77,0
img23,448,612,1
img23,464,77,0
img23,466,613,1
img23,479,77,0
img23,481,614,1
img23,495,77,0
img23,497,612,1
img23,509,76,0
img23,512,614,1
img23,526,76,0
img23,528,612,1
img23,543,77,0
img23,545,612,1
img24,216,517,0
img24,357,628,1
img24,226,493,0
img24,382,617,1
img24,239,469,0
img24,409,605,1
img24,248,448,0
img24,435,593,1
img24,260,422,0
img24,461,580,1
img24,271,395,0
img24,489,566,1
img24,282,372,0
img24,517,558,1
img24,293,350,0
img24,524,531,1
img24,306,325,0
img24,535,504,1
img24,317,300,0
img24,544,479,1
img24,333,280,0
img24,552,454,1
img24,354,265,0
img24,560,429,1
img24,379,251,0
img24,570,402,1
img24,405,237,0
img24,580,376,1
img24,428,221,0
img24,589,350,1
img24,451,207,0
img24,598,323,1
img24,473,191,0
img24,608,299,1
img25,664,166,0
img25,58,201,1
img25,660,181,0
img25,60,217,1
img25,679,203,0
img25,63,234,1
img25,678,219,0
img25,62,253,1
img25,681,237,0
img25,66,269,1
img25,679,254,0
img25,69,285,1
img25,683,272,0
img25,65,304,1
img25,685,289,0
img25,68,322,1
img25,683,304,0
img25,67,338,1
img25,687,323,0
img25,71,354,1
img25,687,340,0
img25,71,372,1
img25,685,357,0
img25,70,391,1
img25,689,377,0
img25,73,408,1
img25,690,395,0
img25,71,427,1
img25,690,411,0
img25,74,443,1
img25,689,428,0
img25,72,461,1
img25,692,445,0
img25,76,478,1
img25,691,462,0
img25,75,495,1
img25,693,480,0
img25,78,512,1
img25,695,497,0
img25,79,529,1
img25,693,514,0
img25,79,547,1
img25,697,533,0
img25,79,566,1
img25,696,551,0
img25,83,583,1
img25,699,569,0
img25,83,601,1
img25,700,586,0
img25,81,618,1
img25,699,603,0
img25,85,633,1
img26,388,84,0
img26,98,334,1
img26,412,109,0
img26,121,361,1
img26,437,142,0
img26,149,393,1
img26,469,179,0
img26,181,429,1
img26,497,207,0
img26,208,459,1
img26,520,238,0
img26,232,488,1
img26,547,270,0
img26,259,518,1
img26,575,300,0
img26,286,550,1
img26,607,336,0
img26,317,586,1
img26,636,370,0
img26,346,619,1
img26,660,397,0
img26,371,647,1
img26,689,430,0
img26,401,679,1
img26,720,465,0
img26,431,714,1
img27,496,64,0
img27,74,154,1
img27,587,61,0
img27,78,168,1
img27,659,58,0
img27,81,181,1
img27,691,65,0
img27,84,195,1
img27,693,80,0
img27,87,208,1
img27,694,95,0
img27,90,224,1
img27,696,109,0
img27,94,237,1
img27,697,123,0
img27,98,249,1
img27,698,138,0
img27,99,264,1
img27,699,152,0
img27,103,278,1
img27,700,168,0
img27,107,292,1
img27,702,180,0
img27,110,306,1
img27,703,195,0
img27,113,319,1
img27,704,208,0
img27,119,333,1
img27,704,224,0
img27,123,346,1
img27,707,237,0
img27,125,360,1
img27,708,251,0
img27,129,374,1
img27,711,265,0
img27,133,387,1
img27,712,279,0
img27,134,401,1
img27,710,295,0
img27,136,416,1
img27,712,309,0
img27,140,430,1
img27,716,323,0
img27,144,444,1
img27,694,341,0
img27,149,457,1
img27,698,355,0
img27,152,471,1
img27,718,366,0
img27,155,484,1
img27,720,379,0
img27,158,498,1
img27,723,394,0
img27,161,513,1
img27,723,408,0
img27,165,526,1
img27,725,422,0
img27,169,539,1
img27,727,437,0
img27,173,553,1
img27,727,451,0
img27,177,568,1
img27,729,465,0
img27,179,582,1
img27,730,479,0
img27,183,595,1
img27,733,494,0
img27,187,610,1
img27,731,510,0
img27,191,623,1
img27,731,523,0
img27,194,637,1
img27,733,537,0
img27,197,652,1
img27,737,550,0
img27,200,664,1
img27,737,564,0
img27,202,677,1
img27,710,585,0
img27,206,690,1
img27,715,599,0
img27,210,706,1
img27,742,609,0
img27,214,721,1
img27,741,622,0
img27,218,733,1
img27,743,636,0
img27,263,739,1
img28,434,149,0
img28,52,215,1
img28,451,171,0
img28,52,239,1
img28,471,195,0
img28,52,266,1
img28,490,223,0
img28,53,298,1
img28,506,246,0
img28,52,330,1
img28,540,273,0
img28,52,356,1
img28,562,300,0
img28,51,387,1
img28,586,325,0
img28,54,415,1
img28,609,347,0
img28,52,442,1
img28,626,371,0
img28,66,462,1
img28,648,395,0
img28,76,486,1
img28,667,419,0
img28,55,522,1
img28,692,444,0
img28,54,551,1
img28,709,470,0
img28,55,581,1
img28,735,499,0
img28,54,612,1
img29,264,144,0
img29,113,286,1
img29,319,165,0
img29,120,350,1
img29,367,178,0
img29,120,409,1
img29,411,195,0
img29,131,456,1
img29,467,214,0
img29,141,518,1
img29,517,231,0
img29,143,583,1
img29,553,255,0
img29,150,632,1
img29,570,299,0
img29,189,655,1
img29,583,349,0
img29,247,662,1
img29,601,393,0
img29,305,670,1
img29,616,443,0
img29,366,676,1
img29,632,496,0
img29,433,682,1
img29,653,542,0
img29,492,691,1
img30,352,240,0
img30,354,608,1
img30,366,231,0
img30,369,617,1
img30,383,222,0
img30,385,627,1
img30,399,228,0
img30,403,636,1
img30,414,228,0
img30,418,648,1
img30,430,193,0
img30,432,658,1
img30,446,184,0
img30,448,668,1
img30,462,175,0
img30,464,677,1
img30,475,165,0
img30,479,686,1
img30,490,157,0
img30,494,697,1
img30,507,147,0
img30,511,705,1
img30,523,136,0
img30,527,718,1
img30,538,126,0
img30,542,726,1
img30,554,119,0
img30,558,734,1
img30,571,106,0
img30,574,745,1
img30,587,96,0
img30,591,741,1
img30,601,88,0
img30,606,734,1
img30,617,81,0
img30,621,719,1
img30,632,69,0
img30,636,717,1
img30,648,62,0
img30,652,709,1
img30,664,104,0
img30,667,700,1
img31,306,106,0
img31,273,273,1
img31,312,132,0
img31,285,281,1
img31,324,134,0
img31,297,289,1
img31,344,119,0
img31,311,297,1
img31,358,123,0
img31,322,304,1
img31,371,126,0
img31,335,311,1
img31,384,131,0
img31,348,318,1
img31,396,136,0
img31,359,324,1
img31,410,139,0
img31,373,333,1
img31,424,144,0
img31,385,340,1
img31,437,147,0
img31,398,349,1
img31,450,151,0
img31,409,357,1
img31,461,156,0
img31,421,363,1
img31,473,162,0
img31,434,370,1
img31,487,166,0
img31,446,377,1
img31,500,170,0
img31,459,385,1
img31,514,173,0
img31,471,393,1
img31,526,177,0
img31,483,399,1
img31,540,181,0
img31,497,406,1
img31,553,186,0
img31,508,415,1
img31,566,191,0
img31,521,422,1
img31,580,195,0
img31,534,430,1
img31,592,198,0
img31,547,438,1
img31,606,203,0
img31,559,446,1
img31,618,207,0
img31,571,452,1
img31,622,244,0
img31,583,459,1
img31,636,248,0
img31,596,467,1
img31,657,222,0
img31,609,474,1
img32,73,579,0
img32,430,743,1
img32,108,575,0
img32,447,731,1
img32,116,558,0
img32,457,714,1
img32,102,532,0
img32,465,698,1
img32,110,514,0
img32,472,679,1
img32,119,497,0
img32,481,662,1
img32,128,479,0
img32,487,643,1
img32,139,461,0
img32,496,625,1
img32,145,446,0
img32,504,609,1
img32,155,430,0
img32,512,592,1
img32,184,419,0
img32,520,574,1
img32,190,403,0
img32,528,557,1
img32,180,377,0
img32,536,540,1
img32,190,360,0
img32,543,521,1
img32,200,345,0
img32,551,504,1
img32,207,327,0
img32,560,487,1
img32,217,311,0
img32,569,470,1
img32,227,294,0
img32,575,454,1
img32,237,278,0
img32,583,436,1
img32,243,259,0
img32,590,416,1
img32,253,243,0
img32,598,401,1
img32,260,227,0
img32,604,384,1
img32,270,211,0
img32,580,350,1
img33,491,339,0
img33,127,709,1
img33,501,352,0
img33,161,698,1
img33,531,351,0
img33,174,710,1
img33,541,365,0
img33,198,712,1
img33,547,383,0
img33,220,714,1
img33,557,397,0
img33,243,714,1
img33,566,413,0
img33,267,716,1
img33,576,430,0
img33,292,718,1
img33,586,446,0
img33,314,720,1
img33,592,462,0
img33,342,713,1
img33,600,476,0
img33,358,722,1
img33,611,492,0
img33,381,724,1
img33,620,509,0
img33,405,726,1
img33,628,526,0
img33,440,712,1
img33,637,543,0
img33,454,726,1
img33,645,557,0
img33,472,732,1
img33,653,572,0
img33,497,730,1
img33,663,590,0
img33,521,732,1
img33,671,605,0
img33,541,736,1
img33,680,621,0
img33,565,736,1
img33,690,637,0
img33,590,738,1
img33,697,653,0
img33,612,741,1
img33,704,669,0
img33,633,741,1
img33,713,685,0
img33,657,742,1
img33,722,701,0
img33,681,747,1
img34,174,119,0
img34,61,342,1
img34,191,128,0
img34,59,385,1
img34,204,142,0
img34,60,424,1
img34,214,171,0
img34,62,461,1
img34,230,179,0
img34,58,505,1
img34,254,161,0
img34,60,536,1
img34,271,169,0
img34,61,577,1
img34,288,179,0
img34,70,597,1
img34,302,189,0
img34,86,604,1
img34,321,195,0
img34,103,614,1
img34,338,202,0
img34,121,624,1
img34,354,212,0
img34,136,632,1
img34,368,222,0
img34,153,638,1
img34,383,230,0
img34,168,645,1
img34,400,237,0
img34,185,656,1
img34,419,246,0
img34,202,665,1
img34,435,254,0
img34,219,672,1
img34,452,262,0
img34,235,680,1
img34,468,270,0
img34,253,690,1
img34,485,280,0
img34,269,698,1
img34,500,288,0
img34,284,707,1
img34,517,297,0
img34,300,715,1
img34,533,305,0
img34,317,723,1
